event_id,product_id,date,event_type,call_count,sms_count,data_count,direction,roaming,calling_msisdn,called_msisdn
1,548,2022-03-06 23:16:48,sms,0,1,0,incoming,roaming,+468-63-49421469,+55-62-62788307
2,548,2022-03-06 23:48:29,sms,0,1,0,incoming,----------,+55-17-17231878,+55-18-18536162
3,548,2022-03-07 20:15:53,sms,0,1,0,incoming,----------,+55-63-63262831,+55-03-03635154
4,548,2022-03-05 02:10:13,data,0,0,74,incoming,----------,+55-54-54656764,+55-87-87044625
5,548,2022-03-06 03:27:20,data,0,0,78,outgoing,roaming,+55-66-66461586,+55-85-85330727
6,85,2022-03-01 03:25:33,call,3,0,0,incoming,----------,+55-57-57345512,+55-67-67175275
7,85,2022-03-06 05:58:18,call,6,0,0,outgoing,----------,+55-12-12730177,+55-77-77061022
8,85,2022-03-03 20:10:16,data,0,0,129,incoming,----------,+55-57-57358055,+55-56-56730007
9,85,2022-03-01 21:59:37,sms,0,1,0,incoming,roaming,+55-60-60388676,+55-75-75815480
10,85,2022-03-06 16:27:16,call,29,0,0,incoming,----------,+55-03-03083070,+55-10-10564840
11,85,2022-03-05 19:42:40,call,18,0,0,outgoing,----------,+55-45-45635800,+55-84-84373107
12,85,2022-03-02 12:39:18,sms,0,1,0,incoming,----------,+55-74-74167678,+55-36-36672042
13,387,2022-03-07 08:54:54,call,34,0,0,incoming,----------,+55-48-48210502,+55-43-43371050
14,387,2022-03-02 23:59:45,call,48,0,0,outgoing,----------,+55-53-53718376,+55-68-68782057
15,387,2022-03-04 01:55:15,call,38,0,0,incoming,----------,+55-35-35411528,+55-28-28527444
16,387,2022-03-02 22:38:16,data,0,0,198,outgoing,roaming,+55-34-34641636,+207-95-46422676
17,460,2022-03-04 21:14:43,data,0,0,115,incoming,----------,+55-01-01208623,+55-12-12814277
18,460,2022-03-05 12:07:33,data,0,0,155,outgoing,----------,+55-80-80067668,+55-52-52584252
19,460,2022-03-06 20:41:18,sms,0,1,0,incoming,----------,+55-22-22442640,+55-84-84841374
20,460,2022-03-04 18:35:31,sms,0,1,0,incoming,----------,+55-32-32687284,+55-28-28113582
21,460,2022-03-06 19:45:43,sms,0,1,0,outgoing,----------,+55-47-47537320,+982-30-43922733
22,460,2022-03-01 09:16:25,sms,0,1,0,incoming,roaming,+55-40-40878030,+55-48-48283045
23,460,2022-03-05 16:19:50,data,0,0,13,outgoing,----------,+55-43-43681676,+55-52-52543655
24,460,2022-03-05 13:38:33,data,0,0,141,incoming,----------,+55-40-40878030,+55-02-02084578
25,460,2022-03-03 23:30:32,call,30,0,0,outgoing,----------,+55-40-40708561,+55-56-56565668
