Customer_ID,First name,Last name,date of birth,gender,agree_for_promo,autopay_card,email,MSISDN,Status,customer category,customer_since,region,language,termination_date
1,Paulo,Barbosa,1969-12-12,male,No,1607712846262365,paul.barbo69@gmail.com,+55-77-77738537,active,phyzical,2015-03-28,Salvador,portuguese,----------
2,Aline,Carvalho,1993-05-29,female,Yes,5217473625262036,alin.carva93@gmail.com,+55-26-26302183,inactive,business,2012-08-31,San_Paulo,portuguese,2021-07-03
3,Luiz,Silva,1997-09-17,male,No,1013757121652404,luiz.silva97@gmail.com,+55-82-82855286,active,phyzical,2016-09-23,Rio-de-Zhaneiro,portuguese,----------
4,Fernanda,Araujo,1986-03-04,female,No,1725682615734475,fern.arauj86@gmail.com,+55-27-27045277,active,phyzical,2017-05-29,Rio-de-Zhaneiro,portuguese,----------
5,Franciska,Oliveira,1978-03-25,female,No,----------,fran.olive78@gmail.com,+55-74-74753155,active,phyzical,2015-07-17,Salvador,portuguese,----------
6,Paulo,Santos,1989-04-13,male,No,3312448164367415,paul.santo89@gmail.com,+55-57-57740760,active,phyzical,2010-01-31,San_Paulo,portuguese,----------
7,Jose,Carvalho,1970-06-02,male,No,4866170867346271,jose.carva70@gmail.com,+55-72-72742432,active,phyzical,2007-08-08,Rio-de-Zhaneiro,english,----------
8,Carlos,Oliveira,1975-07-11,male,No,3577247585767755,carl.olive75@gmail.com,+55-32-32401230,inactive,phyzical,2015-12-14,Rio-de-Zhaneiro,portuguese,2021-01-15
9,Fernanda,Barbosa,1968-05-01,female,No,1018271864304534,fern.barbo68@gmail.com,+55-65-65513064,inactive,phyzical,2006-10-04,San_Paulo,portuguese,2011-05-27
10,Joao,Costa,1989-08-13,male,Yes,3452778378455464,joao.costa89@gmail.com,+55-08-08434176,active,phyzical,2011-01-13,San_Paulo,english,----------
11,Francisco,Carvalho,1973-10-30,male,No,1112755734851057,fran.carva73@gmail.com,+55-68-68172137,inactive,phyzical,1997-11-17,Fortalesa,portuguese,2011-01-21
12,Marcia,Santos,1997-12-19,female,Yes,2366747170353705,marc.santo97@gmail.com,+55-25-25166432,inactive,business,2020-05-31,San_Paulo,portuguese,2021-10-01
13,Marcia,Alves,1981-02-27,female,No,6538011617120150,marc.alves81@gmail.com,+55-88-88386867,active,phyzical,1999-02-13,Rio-de-Zhaneiro,english,----------
14,Marcos,Cardoso,1974-01-30,male,No,3533286226626655,marc.cardo74@gmail.com,+55-82-82034606,active,business,2005-04-13,San_Paulo,portuguese,----------
15,Marcos,Araujo,1993-04-24,male,Yes,----------,marc.arauj93@gmail.com,+55-37-37480121,inactive,business,2011-06-28,Fortalesa,portuguese,2013-07-27
16,Joao,Oliveira,1964-02-15,male,No,4435303538614553,joao.olive64@gmail.com,+55-51-51403575,active,phyzical,2017-03-01,San_Paulo,portuguese,----------
17,Carlos,Melo,1958-11-26,male,No,----------,carl.melo58@gmail.com,+55-35-35628521,inactive,business,1995-10-28,Salvador,portuguese,1999-07-15
18,Marcia,Alves,1989-04-28,female,No,----------,marc.alves89@gmail.com,+55-27-27462375,active,phyzical,2019-03-21,San_Paulo,portuguese,----------
19,Marcia,Sousa,1989-01-20,female,No,5323532834600244,marc.sousa89@gmail.com,+55-57-57066616,active,phyzical,2022-02-24,Salvador,english,----------
20,Carlos,Rodrigues,1962-09-09,male,No,1533718031766883,carl.rodri62@gmail.com,+55-35-35788056,active,business,2006-09-05,Fortalesa,portuguese,----------
21,Lucas,Ferreira,1979-06-16,male,No,0035472357635413,luca.ferre79@gmail.com,+55-52-52142102,active,phyzical,1999-11-23,Rio-de-Zhaneiro,portuguese,----------
22,Maria,Ribeiro,1970-07-06,female,No,4280586708217371,mari.ribei70@gmail.com,+55-82-82667711,active,business,2006-06-28,San_Paulo,portuguese,----------
23,Marcos,Silva,1991-02-27,male,Yes,8772362044253058,marc.silva91@gmail.com,+55-62-62816856,active,phyzical,2018-08-14,San_Paulo,portuguese,----------
24,Luiz,Almeida,1974-01-25,male,No,2821766066366071,luiz.almei74@gmail.com,+55-28-28834046,active,phyzical,2014-02-13,Salvador,portuguese,----------
25,Franciska,Lima,1980-06-14,female,No,0318375203651427,fran.lima80@gmail.com,+55-81-81122038,active,phyzical,2018-02-15,San_Paulo,portuguese,----------
26,Patricia,Costa,1962-07-28,female,No,----------,patr.costa62@gmail.com,+55-24-24051357,active,phyzical,2020-04-13,Rio-de-Zhaneiro,portuguese,----------
27,Patricia,Ribeiro,1979-03-24,female,No,0260171531222418,patr.ribei79@gmail.com,+55-55-55741566,active,phyzical,2012-05-13,Salvador,english,----------
28,Andriana,Oliveira,1964-03-28,female,No,----------,andr.olive64@gmail.com,+55-36-36258336,active,business,2018-11-14,San_Paulo,portuguese,----------
29,Antonio,Araujo,1965-04-29,male,No,5087070421221378,anto.arauj65@gmail.com,+55-30-30884234,inactive,business,2000-09-04,San_Paulo,portuguese,2010-10-05
30,Maria,Barbosa,1985-11-17,female,Yes,4538243675715477,mari.barbo85@gmail.com,+55-45-45008866,active,phyzical,2010-01-25,Salvador,portuguese,----------
31,Franciska,Araujo,1994-03-26,female,No,0312778725630752,fran.arauj94@gmail.com,+55-85-85028162,active,phyzical,2014-06-20,San_Paulo,portuguese,----------
32,Aline,Almeida,1976-06-23,female,No,6176750052848172,alin.almei76@gmail.com,+55-71-71121755,active,phyzical,2002-10-19,Salvador,portuguese,----------
33,Marcos,Ferreira,1968-02-13,male,No,8768400678110383,marc.ferre68@gmail.com,+55-13-13640473,active,phyzical,2008-07-05,Rio-de-Zhaneiro,portuguese,----------
34,Franciska,Lima,1970-05-29,female,No,7228540225308284,fran.lima70@gmail.com,+55-68-68632544,inactive,business,2002-03-23,Rio-de-Zhaneiro,portuguese,2007-12-24
35,Antonio,Almeida,1959-03-07,male,No,----------,anto.almei59@gmail.com,+55-38-38830707,inactive,business,1999-05-03,Fortalesa,english,2009-04-08
36,Antonio,Gomes,1992-11-12,male,No,8217074303515580,anto.gomes92@gmail.com,+55-42-42137830,active,phyzical,2012-07-02,San_Paulo,portuguese,----------
37,Franciska,Alves,2003-10-05,female,Yes,6038401267724311,fran.alves3@gmail.com,+55-45-45278656,active,phyzical,2022-02-19,Rio-de-Zhaneiro,portuguese,----------
38,Pedro,Gomes,1972-05-11,male,No,4607142583747242,pedr.gomes72@gmail.com,+55-27-27663408,active,business,2006-10-05,Rio-de-Zhaneiro,english,----------
39,Juliana,Ferreira,1961-10-05,female,No,5483667350400504,juli.ferre61@gmail.com,+55-56-56037550,active,business,2006-08-14,Salvador,portuguese,----------
40,Lucas,Almeida,1991-08-08,male,No,----------,luca.almei91@gmail.com,+55-12-12838301,active,phyzical,2021-01-27,San_Paulo,portuguese,----------
41,Juliana,Cardoso,1995-10-30,female,Yes,8486748352813524,juli.cardo95@gmail.com,+55-33-33233451,inactive,phyzical,2015-08-06,Rio-de-Zhaneiro,english,2019-05-09
42,Luiz,Araujo,1981-07-09,male,No,----------,luiz.arauj81@gmail.com,+55-06-06885084,active,phyzical,2009-04-13,San_Paulo,portuguese,----------
43,Maria,Rodrigues,1988-02-08,female,No,3884875005207801,mari.rodri88@gmail.com,+55-21-21720675,active,phyzical,2022-02-15,Rio-de-Zhaneiro,portuguese,----------
44,Lucas,Melo,1964-02-27,male,No,3672747538425423,luca.melo64@gmail.com,+55-01-01777316,inactive,phyzical,2017-12-21,Rio-de-Zhaneiro,english,2019-01-08
45,Francisco,Sousa,1977-08-23,male,No,3257137144340186,fran.sousa77@gmail.com,+55-48-48600408,active,business,2005-09-04,San_Paulo,english,----------
46,Pedro,Ribeiro,1959-04-04,male,No,----------,pedr.ribei59@gmail.com,+55-53-53532658,inactive,phyzical,2016-07-11,San_Paulo,portuguese,2021-12-14
47,Ana,Barbosa,1991-03-26,female,Yes,----------,ana.barbo91@gmail.com,+55-03-03536622,active,phyzical,2015-12-13,Rio-de-Zhaneiro,portuguese,----------
48,Andriana,Martins,1983-11-24,female,No,----------,andr.marti83@gmail.com,+55-40-40285460,active,phyzical,2005-09-06,Salvador,english,----------
49,Juliana,Araujo,1991-04-04,female,No,8246238327378641,juli.arauj91@gmail.com,+55-40-40252126,active,phyzical,2009-01-25,San_Paulo,portuguese,----------
50,Francisco,Ferreira,1972-02-11,male,No,7635284615187075,fran.ferre72@gmail.com,+55-25-25667803,active,business,2008-12-23,San_Paulo,portuguese,----------
51,Fernanda,Melo,1994-11-24,female,No,4080410814055158,fern.melo94@gmail.com,+55-43-43034758,active,business,2017-06-06,San_Paulo,portuguese,----------
52,Jose,Silva,1959-05-13,male,No,5542533144762417,jose.silva59@gmail.com,+55-67-67533167,active,business,2022-02-13,Rio-de-Zhaneiro,portuguese,----------
53,Antonio,Silva,1949-12-18,male,No,6631401255071346,anto.silva49@gmail.com,+55-78-78878833,inactive,phyzical,1999-02-01,Fortalesa,portuguese,2000-02-11
54,Fernanda,Lima,1941-11-13,female,No,4561131457057856,fern.lima41@gmail.com,+55-67-67646462,active,business,1998-05-04,Fortalesa,portuguese,----------
55,Carlos,Almeida,1971-08-15,male,No,0080786728331013,carl.almei71@gmail.com,+55-77-77257674,active,phyzical,1995-01-28,Fortalesa,portuguese,----------
56,Marcos,Cardoso,1993-08-30,male,No,6482444516717131,marc.cardo93@gmail.com,+55-60-60180200,active,phyzical,2011-06-22,San_Paulo,portuguese,----------
57,Fernanda,Ribeiro,1957-11-05,female,No,----------,fern.ribei57@gmail.com,+55-22-22417156,active,phyzical,2020-06-23,Rio-de-Zhaneiro,portuguese,----------
58,Lucas,Lima,1999-05-07,male,Yes,3766122541727417,luca.lima99@gmail.com,+55-86-86745355,active,phyzical,2021-07-31,San_Paulo,portuguese,----------
59,Patricia,Pereira,2001-10-17,female,Yes,7825540170246383,patr.perei1@gmail.com,+55-80-80836722,active,business,2022-01-28,San_Paulo,portuguese,----------
60,Francisco,Almeida,1979-01-04,male,No,0605332304656677,fran.almei79@gmail.com,+55-77-77872446,active,phyzical,2002-11-15,Salvador,portuguese,----------
61,Carlos,Silva,1970-08-20,male,No,6322231018834385,carl.silva70@gmail.com,+55-80-80543430,active,phyzical,2012-03-16,San_Paulo,english,----------
62,Maria,Ribeiro,1986-12-10,female,No,7834012141207387,mari.ribei86@gmail.com,+55-16-16528010,inactive,phyzical,2008-12-07,Salvador,portuguese,2013-10-14
63,Carlos,Barbosa,1974-01-12,male,No,0884623813738110,carl.barbo74@gmail.com,+55-83-83527787,active,business,1998-06-08,San_Paulo,portuguese,----------
64,Antonio,Santos,1984-12-20,male,No,----------,anto.santo84@gmail.com,+55-72-72325126,active,phyzical,2011-05-15,Salvador,portuguese,----------
65,Francisco,Gomes,2003-07-22,male,Yes,6580738886145623,fran.gomes3@gmail.com,+55-08-08677100,active,phyzical,2022-01-14,Brasilia,english,----------
66,Antonio,Silva,1979-04-09,male,No,1761707308175684,anto.silva79@gmail.com,+55-82-82577213,active,phyzical,2010-10-26,San_Paulo,portuguese,----------
67,Andriana,Oliveira,1987-08-24,female,No,2268703682164558,andr.olive87@gmail.com,+55-73-73621680,active,phyzical,2019-04-14,San_Paulo,portuguese,----------
68,Francisco,Oliveira,1968-06-18,male,No,6813148858736415,fran.olive68@gmail.com,+55-72-72775658,inactive,phyzical,2004-04-18,Fortalesa,portuguese,2013-11-17
69,Francisco,Silva,1982-06-07,male,No,5606540387613361,fran.silva82@gmail.com,+55-46-46083655,active,phyzical,2019-06-27,Rio-de-Zhaneiro,portuguese,----------
70,Ana,Araujo,2003-07-28,female,Yes,0348844264508556,ana.arauj3@gmail.com,+55-51-51286312,active,business,2022-02-21,Salvador,portuguese,----------
71,Lucas,Oliveira,1991-08-22,male,No,6888128168624250,luca.olive91@gmail.com,+55-56-56134768,inactive,phyzical,2012-04-25,San_Paulo,portuguese,2020-01-03
72,Paulo,Oliveira,1999-08-29,male,No,3844722217756075,paul.olive99@gmail.com,+55-53-53771156,active,business,2018-11-28,San_Paulo,portuguese,----------
73,Franciska,Melo,1949-03-15,female,No,7510525373764370,fran.melo49@gmail.com,+55-47-47676888,active,phyzical,2012-09-20,San_Paulo,english,----------
74,Marcia,Alves,1974-01-02,female,No,4166120381483368,marc.alves74@gmail.com,+55-41-41440566,active,phyzical,2004-03-07,San_Paulo,portuguese,----------
75,Maria,Martins,1973-01-13,female,No,3181181064133334,mari.marti73@gmail.com,+55-44-44657525,active,phyzical,2019-03-14,Rio-de-Zhaneiro,portuguese,----------
76,Maria,Carvalho,1992-03-19,female,No,4215060055545832,mari.carva92@gmail.com,+55-53-53045601,active,business,2010-11-14,Salvador,portuguese,----------
77,Lucas,Santos,1981-10-16,male,No,5785082675385770,luca.santo81@gmail.com,+55-22-22587784,active,business,2004-07-22,San_Paulo,portuguese,----------
78,Jose,Barbosa,1981-08-17,male,No,6006847210582317,jose.barbo81@gmail.com,+55-76-76266027,active,phyzical,2012-01-21,San_Paulo,portuguese,----------
79,Antonio,Ferreira,1968-08-19,male,No,0248515081084504,anto.ferre68@gmail.com,+55-44-44136154,active,phyzical,1998-06-16,Fortalesa,english,----------
80,Francisco,Barbosa,1950-06-22,male,No,----------,fran.barbo50@gmail.com,+55-26-26324703,inactive,phyzical,2016-07-16,San_Paulo,portuguese,2018-09-21
81,Franciska,Rodrigues,1954-08-01,female,No,----------,fran.rodri54@gmail.com,+55-41-41683287,inactive,phyzical,1995-09-12,Rio-de-Zhaneiro,portuguese,2006-08-18
