Customer_ID,First name,Last name,date of birth,gender,agree_for_promo,autopay_card,email,MSISDN,Status,customer category,customer_since,region,language,termination_date
0001,Francisco,Ribeiro,18-06-1940,male,No,----------,fran.ribei40@gmail.com,+55-50-50302873,active,phyzical,15-06-2007,Rio-de-Zhaneiro,portuguese,----------
0002,Franciska,Martins,24-07-1979,female,No,3023245478123428,fran.marti79@gmail.com,+55-56-56887640,inactive,phyzical,02-07-2016,Rio-de-Zhaneiro,portuguese,10-01-2020
0003,Marcos,Carvalho,13-09-1997,male,No,6676413488787004,marc.carva97@gmail.com,+55-30-30074062,active,business,05-09-2019,San_Paulo,portuguese,----------
0004,Maria,Martins,09-04-1927,female,No,5544368876176555,mari.marti27@gmail.com,+55-73-73304455,active,phyzical,22-04-2006,San_Paulo,portuguese,----------
0005,Francisco,Cardoso,07-08-1999,male,Yes,0330140716711263,fran.cardo99@gmail.com,+55-73-73057166,active,business,02-08-2019,Salvador,russian,----------
0006,Andriana,Cardoso,03-01-1993,female,Yes,----------,andr.cardo93@gmail.com,+55-47-47151823,active,business,23-01-2021,Brasilia,russian,----------
0007,Fernanda,Martins,16-12-1996,female,Yes,6801056882284378,fern.marti96@gmail.com,+55-84-84711538,active,phyzical,23-12-2017,Fortalesa,portuguese,----------
0008,Fernanda,Lima,23-07-1999,female,No,----------,fern.lima99@gmail.com,+55-45-45371315,active,phyzical,28-07-2018,Fortalesa,portuguese,----------
0009,Marcia,Melo,27-02-1997,female,No,0281000643213310,marc.melo97@gmail.com,+55-40-40721188,active,phyzical,10-02-2017,San_Paulo,english,----------
0010,Antonia,Rodrigues,03-03-2001,female,Yes,----------,anto.rodri01@gmail.com,+55-23-23773615,active,phyzical,07-03-2020,San_Paulo,portuguese,----------
0011,Luiz,Gomes,07-04-1986,male,No,2813887688234455,luiz.gomes86@gmail.com,+55-22-22648182,active,phyzical,20-04-2007,Rio-de-Zhaneiro,portuguese,----------
0012,Juliana,Carvalho,01-11-2003,female,Yes,7128846012683408,juli.carva03@gmail.com,+55-72-72635637,active,business,16-11-2021,San_Paulo,portuguese,----------
0013,Franciska,Oliveira,01-10-1982,female,No,4487687776142036,fran.olive82@gmail.com,+55-32-32223602,active,phyzical,11-10-2013,Brasilia,portuguese,----------
0014,Ana,Alves,25-06-1976,female,No,1326738215055622,ana.alves76@gmail.com,+55-00-00456272,inactive,phyzical,10-06-2006,Salvador,portuguese,07-11-2015
0015,Andriana,Carvalho,07-02-1978,female,No,4128766248010635,andr.carva78@gmail.com,+55-80-80378117,active,phyzical,03-02-2009,Rio-de-Zhaneiro,portuguese,----------
0016,Jose,Santos,01-01-1977,male,No,----------,jose.santo77@gmail.com,+55-82-82005051,active,phyzical,07-01-2017,Rio-de-Zhaneiro,portuguese,----------
0017,Joao,Gomes,16-10-1997,male,No,4212782814288468,joao.gomes97@gmail.com,+55-13-13420265,active,phyzical,20-10-2016,San_Paulo,russian,----------
0018,Francisco,Ribeiro,23-09-1983,male,Yes,3150837271424877,fran.ribei83@gmail.com,+55-81-81213060,active,phyzical,14-09-2005,Salvador,english,----------
0019,Marcia,Araujo,31-12-1979,female,No,----------,marc.arauj79@gmail.com,+55-46-46541436,active,phyzical,12-12-2011,Salvador,portuguese,----------
0020,Marcia,Carvalho,12-09-1947,female,No,5065732700205413,marc.carva47@gmail.com,+55-03-03682657,active,phyzical,11-09-2019,San_Paulo,portuguese,----------
0021,Maria,Silva,01-10-1997,female,No,7353667540858024,mari.silva97@gmail.com,+55-64-64445643,active,phyzical,08-10-2017,Rio-de-Zhaneiro,portuguese,----------
0022,Antonio,Santos,23-12-1996,male,No,6133228241472575,anto.santo96@gmail.com,+55-10-10008701,active,phyzical,16-12-2021,Salvador,portuguese,----------
0023,Antonia,Carvalho,04-05-1964,female,No,5712164817164515,anto.carva64@gmail.com,+55-63-63651086,active,phyzical,25-05-2014,San_Paulo,portuguese,----------
0024,Maria,Cardoso,29-11-1973,female,No,8451425066832611,mari.cardo73@gmail.com,+55-38-38371157,active,phyzical,23-11-1996,San_Paulo,portuguese,----------
0025,Paulo,Oliveira,05-07-1985,male,No,8388382720055817,paul.olive85@gmail.com,+55-82-82081253,active,phyzical,06-07-2011,San_Paulo,portuguese,----------
0026,Juliana,Costa,19-02-1956,female,No,6760561310748524,juli.costa56@gmail.com,+55-65-65817423,active,phyzical,11-02-1999,San_Paulo,portuguese,----------
0027,Juliana,Gomes,04-12-1994,female,No,3821643731405412,juli.gomes94@gmail.com,+55-63-63011168,active,phyzical,18-12-2015,Rio-de-Zhaneiro,portuguese,----------
0028,Fernanda,Rodrigues,28-05-1992,female,Yes,5472402672314175,fern.rodri92@gmail.com,+55-74-74712367,active,phyzical,28-05-2016,Brasilia,portuguese,----------
0029,Antonio,Santos,12-12-2003,male,Yes,2073331537115654,anto.santo03@gmail.com,+55-17-17751760,active,phyzical,07-12-2021,Salvador,portuguese,----------
